place_id,name,link,main_category,categories,rating,reviews,address
ChIJjz8SyS8EMC0RbzJOBYhKOg0,Pantai Ngurbloat Desa Ngilngof - Kei Islands,https://www.google.com/maps/place/Pantai+Ngurbloat+Desa+Ngilngof+-+Kei+Islands/data=!4m7!3m6!1s0x2d30042fc9123f8f:0xd3a4a88054e326f!8m2!3d-5.6624981!4d132.6362396!16s%2Fg%2F11b86hyzjt!19sChIJjz8SyS8EMC0RbzJOBYhKOg0?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.7,965,"Pantai Ngurbloat Desa Ngilngof - Kei Islands, Ngurbloat, Kabupaten Maluku Tenggara, Maluku"
ChIJx0qHxtT6bC0RVVzqKFlU7rI,Cagar Budaya VOC Benteng Amsterdam,https://www.google.com/maps/place/Cagar+Budaya+VOC+Benteng+Amsterdam/data=!4m7!3m6!1s0x2d6cfad4c6874ac7:0xb2ee545928ea5c55!8m2!3d-3.5828682!4d128.0831395!16s%2Fm%2F0wyjt8d!19sChIJx0qHxtT6bC0RVVzqKFlU7rI?authuser=0&hl=id&rclk=1,Bangunan Bersejarah,"Bangunan Bersejarah, Tujuan Wisata",4.4,768,"C38M+V72 Cagar Budaya VOC Benteng Amsterdam, Kaitetu, Kec. Leihitu, Kabupaten Maluku Tengah, Maluku"
ChIJX7IO7ACGFS0RzwjyKcroE1w,Istana Mini - Paleis van de Gouverneur-Generaal in Banda,https://www.google.com/maps/place/Istana+Mini+-+Paleis+van+de+Gouverneur-Generaal+in+Banda/data=!4m7!3m6!1s0x2d158600ec0eb25f:0x5c13e8ca29f208cf!8m2!3d-4.5290495!4d129.9005963!16s%2Fg%2F11b6y7mw8x!19sChIJX7IO7ACGFS0RzwjyKcroE1w?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,246,"FWC2+96Q Istana Mini - Paleis van de Gouverneur-Generaal in Banda, Dwiwarna Village, Dwi Warna, Banda, Central Maluku Regency, Maluku"
ChIJn66Tdq72bC0RzM-B3yN0HCA,Lubang Buaya Morela,https://www.google.com/maps/place/Lubang+Buaya+Morela/data=!4m7!3m6!1s0x2d6cf6ae7693ae9f:0x201c7423df81cfcc!8m2!3d-3.5183437!4d128.2236557!16s%2Fg%2F11c45sxdpv!19sChIJn66Tdq72bC0RzM-B3yN0HCA?authuser=0&hl=id&rclk=1,Tujuan Wisata,"Tujuan Wisata, Taman",4.6,1130,"Lubang Buaya Morela, Morela, Kec. Leihitu, Kabupaten Maluku Tengah, Maluku 97581"
ChIJ6cEc9jXDbC0RpgFiWikXY0U,Pantai Pintu Kota Ambon,https://www.google.com/maps/place/Pantai+Pintu+Kota+Ambon/data=!4m7!3m6!1s0x2d6cc335f61cc1e9:0x456317295a6201a6!8m2!3d-3.7705365!4d128.1524331!16s%2Fg%2F11b7vd74_p!19sChIJ6cEc9jXDbC0RpgFiWikXY0U?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,952,"65H2+QXM Pantai Pintu Kota Ambon, Nusaniwe, Kec. Nusaniwe, Kota Ambon, Maluku"
ChIJ_____8_ybC0RKoe_U8UwnxY,Belut Raksasa Morea,https://www.google.com/maps/place/Belut+Raksasa+Morea/data=!4m7!3m6!1s0x2d6cf2cfffffffff:0x169f30c553bf872a!8m2!3d-3.5648206!4d128.3188058!16s%2Fg%2F11c7053tmr!19sChIJ_____8_ybC0RKoe_U8UwnxY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,485,"C8P9+3GF Belut Raksasa Morea, Waai, Kec. Salahutu, Kabupaten Maluku Tengah, Maluku"
ChIJcXSsRI7BbC0Rp9K701KRbWY,Pantai Hukurila,https://www.google.com/maps/place/Pantai+Hukurila/data=!4m7!3m6!1s0x2d6cc18e44ac7471:0x666d9152d3bbd2a7!8m2!3d-3.7381507!4d128.240791!16s%2Fg%2F11cm0lh9yr!19sChIJcXSsRI7BbC0Rp9K701KRbWY?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.5,397,"766R+P8M Pantai Hukurila, Banda Sea, Hukurila, Kota Ambon, Maluku"
ChIJg5NkrNkhbS0RJDnFUvTgmzE,Batu Layar,https://www.google.com/maps/place/Batu+Layar/data=!4m7!3m6!1s0x2d6d21d9ac649383:0x319be0f452c53924!8m2!3d-3.7348091!4d127.9232047!16s%2Fg%2F11bzq4dgmt!19sChIJg5NkrNkhbS0RJDnFUvTgmzE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,252,"7W8F+37G Batu Layar, Bar.,, Larike, Kec. Leihitu Bar., Kabupaten Maluku Tengah, Maluku"
ChIJB3GG5XiZay0RJd_p2zt-y2Q,Pantai Tanjung Kuako,https://www.google.com/maps/place/Pantai+Tanjung+Kuako/data=!4m7!3m6!1s0x2d6b9978e5867107:0x64cb7e3bdbe9df25!8m2!3d-3.3320956!4d128.9123129!16s%2Fg%2F11b7hm_75h!19sChIJB3GG5XiZay0RJd_p2zt-y2Q?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,194,"MW96+5W8 Pantai Tanjung Kuako, Jl. Pantai Kuako, Soahuku, Kec. Amahai, Kabupaten Maluku Tengah, Maluku"
ChIJn04VpznebC0Rfa3kSbJQgx0,Batu Kapal Lilibooi,https://www.google.com/maps/place/Batu+Kapal+Lilibooi/data=!4m7!3m6!1s0x2d6cde39a7154e9f:0x1d8350b249e4ad7d!8m2!3d-3.7430841!4d128.0322265!16s%2Fg%2F11c2qk9mmm!19sChIJn04VpznebC0Rfa3kSbJQgx0?authuser=0&hl=id&rclk=1,Area Rekreasi Alam,"Area Rekreasi Alam, Tujuan Wisata",4.4,121,"724J+QV9 Batu Kapal Lilibooi, Jl. Propinsi, Liliboi, Kec. Leihitu Bar., Kabupaten Maluku Tengah, Maluku"
ChIJU7xPvwDobC0RRYDaZ5yt41E,Pantai Batu Lubang Ambon,https://www.google.com/maps/place/Pantai+Batu+Lubang+Ambon/data=!4m7!3m6!1s0x2d6ce800bf4fbc53:0x51e3ad9c67da8045!8m2!3d-3.7170081!4d128.1494088!16s%2Fg%2F11f3p7bs2s!19sChIJU7xPvwDobC0RRYDaZ5yt41E?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.3,80,"74MX+5QV Pantai Batu Lubang Ambon, Amahusu, Kec. Nusaniwe, Kota Ambon, Maluku"
ChIJTafdNdrpbC0RpDnRkJydJGk,Pantai Wisata Tapal Kuda,https://www.google.com/maps/place/Pantai+Wisata+Tapal+Kuda/data=!4m7!3m6!1s0x2d6ce9da35dda74d:0x69249d9c90d139a4!8m2!3d-3.7047654!4d128.1577619!16s%2Fg%2F11fps9q99s!19sChIJTafdNdrpbC0RpDnRkJydJGk?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,70,"75W5+34R Pantai Wisata Tapal Kuda, Jl. Dr. Malaihollo, Kel Benteng, Kec. Nusaniwe, Kota Ambon, Maluku"
ChIJJ2IxNDHCbC0RCzKiPNA8x20,Pantai Namasua Desa Naku,https://www.google.com/maps/place/Pantai+Namasua+Desa+Naku/data=!4m7!3m6!1s0x2d6cc23134316227:0x6dc73cd03ca2320b!8m2!3d-3.7450898!4d128.2166461!16s%2Fg%2F11c1ndpg8n!19sChIJJ2IxNDHCbC0RCzKiPNA8x20?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,35,"7638+XM6 Pantai Namasua Desa Naku, Naku, Kec. Leitimur Sel., Kota Ambon, Maluku"
ChIJ7wQINl3zbC0RBXFtNnZG9go,Air Terjun Waai,https://www.google.com/maps/place/Air+Terjun+Waai/data=!4m7!3m6!1s0x2d6cf35d360804ef:0xaf64676366d7105!8m2!3d-3.5551063!4d128.2983254!16s%2Fg%2F11h6l90vjg!19sChIJ7wQINl3zbC0RBXFtNnZG9go?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.6,29,"C7VX+X84 Air Terjun Waai, Waai, Kec. Salahutu, Kabupaten Maluku Tengah, Maluku"
ChIJXwZZNxnpbC0RxtK17aup8UE,WISATA ALAM NEGERI SOYA,https://www.google.com/maps/place/WISATA+ALAM+NEGERI+SOYA/data=!4m7!3m6!1s0x2d6ce9193759065f:0x41f1a9abedb5d2c6!8m2!3d-3.7108534!4d128.2152724!16s%2Fg%2F11gsb5w904!19sChIJXwZZNxnpbC0RxtK17aup8UE?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.9,22,"WISATA ALAM NEGERI SOYA, Jl. Sirimau Negeri Soya Kecamatan Sirimau RT/RW : 001/001, Soya, Kec. Sirimau, Kota Ambon, Maluku 97129"
ChIJXYdh1qIzMC0R1u_n-q5gEQ8,Air Terjun Hoko,https://www.google.com/maps/place/Air+Terjun+Hoko/data=!4m7!3m6!1s0x2d3033a2d661875d:0xf1160aefae7efd6!8m2!3d-5.524471!4d133.126619!16s%2Fg%2F11g6bkq65g!19sChIJXYdh1qIzMC0R1u_n-q5gEQ8?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.1,18,"F4GG+6J9 Air Terjun Hoko, Hollat, Kec. Kei Besar Utara Tim., Kabupaten Maluku Tenggara, Maluku"
ChIJA2h1I3DfbC0RxJVD658OHEc,Puncak Love Allang,https://www.google.com/maps/place/Puncak+Love+Allang/data=!4m7!3m6!1s0x2d6cdf7023756803:0x471c0e9feb4395c4!8m2!3d-3.7673154!4d128.0122574!16s%2Fg%2F11qs_m1fn7!19sChIJA2h1I3DfbC0RxJVD658OHEc?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.8,18,"62M6+3WC Puncak Love Allang, Allang, Kec. Leihitu Bar., Kabupaten Maluku Tengah, Maluku"
ChIJlXuxW5pbai0REqjM8rvwtGI,Tebing Makariki,https://www.google.com/maps/place/Tebing+Makariki/data=!4m7!3m6!1s0x2d6a5b9a5bb17b95:0x62b4f0bbf2cca812!8m2!3d-3.2969317!4d129.5505952!16s%2Fg%2F11t84qg8qg!19sChIJlXuxW5pbai0REqjM8rvwtGI?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.9,16,"PH32+66 Tebing Makariki, Yaputih, Kec. Tehoru, Kabupaten Maluku Tengah, Maluku"
ChIJ93i2Duc9bC0RdeyrK_dG73Q,Air Terjun Lumoli,https://www.google.com/maps/place/Air+Terjun+Lumoli/data=!4m7!3m6!1s0x2d6c3de70eb678f7:0x74ef46f72babec75!8m2!3d-3.1258757!4d128.2972113!16s%2Fg%2F11g6bmgcmr!19sChIJ93i2Duc9bC0RdeyrK_dG73Q?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,4.4,9,"V7FW+JVW Air Terjun Lumoli, Bar., Kabupaten Seram Bagian, Lumoli, Kec. Seram Bar., Kabupaten Seram Bagian Barat, Maluku"
ChIJu_ac43qTay0RQ42Sz_nGJ3g,Rumalait Beach,https://www.google.com/maps/place/Rumalait+Beach/data=!4m7!3m6!1s0x2d6b937ae39cf6bb:0x7827c6f9cf928d43!8m2!3d-3.2065084!4d128.8744525!16s%2Fg%2F11s326pzw1!19sChIJu_ac43qTay0RQ42Sz_nGJ3g?authuser=0&hl=id&rclk=1,Tujuan Wisata,Tujuan Wisata,3.3,6,"QVVF+9Q Rumalait Beach, Tananahu, Kec. Tlk. Elpaputih, Kabupaten Maluku Tengah, Maluku"
